Poland,82.40482963,93.63767407,79.42962963,75.48111852,81.28375,90.54096316,88.06500389,93.82719433,88.52405924,83.16356018,80.70828162,78.51512546,183.5047428,278.6382887,302.6820654,296.6763907,5514.880564,3863.240225,2647.10982,4688.462353,10440.21134,13574.12836,859.6025486,521.0379294,1049.384624,681.5032804,342.7140565,3607.144765,1653.116552,3161.859031,1204.113182,787.0338079,707.7893427,2081.633248,612.4329164,295.6527652,534.3253103,113.5228801,113.3439284,116.9977605,113.9135356,115.9219245,107.396663,122.2309466,110.7210559
Portugal,1300.165,99.858775,159.398225,794.6092143,896.8222875,1232.827636,783.2719444,1280,2222.4,7900,2333.12,2572.504,2669.67074,2354.08796,2464.4827,5649.28,5271.5,4612.5,6708.666667,24490,2565.134167,378.5714286,608,831.1666667,1649.285714,219.5,317.3333333,221.5714286,275.75,105.1683333,3283.574415,1181.4645,58.36096667,1643.40365,84.01972,544.3333333,402,440,274,294,7006,,,,
Puerto Rico,2067.75,200,18,19,25,18,119.5,1479.2,,39.5,137.5,200.6666667,119.5,111.5,202.5,124.5,61.7,82.66666667,45.38888889,86.27272727,36,18.14285714,18.85714286,24.625,18,21.375,21.14285714,15.5,13.5,14.71428571,10,12.66666667,6.714285714,5.8,9.714285714,9.166666667,6.333333333,6.166666667,,,,,,,
Romania,6000,5500,1000,4250,200,1463.333333,430.9607192,196.7537485,1016.78557,953.6756759,810.661105,1715.961832,831.7040829,378.7890621,1521.247952,2073.065686,4104.946435,3057.137448,3591.276159,3744.082492,3072.507334,1312.330452,1961.005347,1894.944064,2438.727335,644.2706139,3729.910166,3524.731218,65.599577,66.65905172,78.77035122,147.6916914,61.916672,63.88158278,1099.269927,69.31199157,73.91145971,71.14374871,73.52955171,72.07816343,69.55210229,69.68233186,66.60325914,67.888445,66.213187
Russia,14916.08333,12927.5,12573.625,9812.666667,11124.5,24234.54545,13949.58333,13454.91667,12893.57143,15003.63636,21135.38462,14033.66667,11853.69231,11259.92308,9175.285714,10467.81818,33046.76923,17574,3832.771429,9711.576923,10305.75862,59454.43,14407.7625,14450.43333,16838.9,12947.97143,20156.68,27821,84,4066.655172,4289.419355,205,131.5833333,687.125,539,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,447.5,350000,377.5,1334.333333,316,4489,3185,400000,300000,140232,2582,35487.999,60371.1158,183204,118873.3671,73628.86336,51426.35137,131144.1775,137691.7017,1416.14875,4077.59876,1428.54055,643.3049333,,,,,,,,
Saint Lucia,,,100,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,7893.291667,1968.25,5197,5088.65625,12255.28788,55508.42857,,,394,,361.5,,19,,3820,1315.5,,,,,,,,,,,
Serbia,,,20,,26,17,,16,18,18,14.33333333,29,16,21.75,12.66666667,13.66666667,11.66666667,44,6,,29,53,0,0,0,70,,,104,,,,,160,170,,,,,,,,,,
Seychelles,269.5,46,38.5,118,38,38,108.3333333,121,160.5,172.5,175.5,2655,1007,630.5,851,725.75,320,415.6666667,220,299.75,318,514.2,363.8,441.2,495.6,261.4,312.6,27.25,30.75,34,38,,,,,,9891,5708,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.596666667,,3.313333333,2.663333333,2.35,2.356666667,2.423333333,2.016666667,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,379.3333333,494.5263158,529.6666667,647,517,867.6666667,738.6666667,521.3333333,357,327,336,597.6842105,285,,,,,,,
Slovakia,,27,33.5,37.25,39,47.11111111,49.45802567,50.833537,55.5203536,56.3347577,54.2810417,48.57467255,54.91688755,53.96555045,61.99587527,66.76573218,68.42930236,70.52766164,73.795292,74.80554391,80.95760955,79.80776873,75.08732509,75.79259291,76.759088,70.17920973,73.12560818,67.63763325,69.27269318,111.7584548,124.137786,120.9783558,129.2778125,219.883277,212.2487905,225.1845945,214.989651,247.22533,225.363062,256.9303795,227.277292,240.5090405,254.423449,243.30943,245.6628615
